'Elapsed time','ECG I'
'seconds','mV'
0.000,0.37000000
0.002,0.19000000
0.004,0.06500000
0.006,0.04500000
0.008,0.07000000
0.010,0.04500000
0.012,0.25500000
0.014,0.33000000
0.016,0.29500000
0.018,0.38000000
0.020,0.19500000
0.022,0.20000000
0.024,0.17500000
0.026,0.01000000
0.028,0.00000000
0.030,0.11500000
0.032,0.15500000
0.034,0.28500000
0.036,0.38500000
0.038,0.31000000
0.040,0.25500000
0.042,0.29500000
0.044,0.12000000
0.046,-0.04500000
0.048,0.00000000
0.050,0.15500000
0.052,0.12000000
0.054,0.38000000
0.056,0.31000000
0.058,0.39000000
0.060,0.30500000
0.062,0.20500000
0.064,0.16000000
0.066,0.05000000
0.068,-0.12000000
0.070,0.08500000
0.072,0.18000000
0.074,0.35500000
0.076,0.24500000
0.078,0.29500000
0.080,0.26000000
0.082,0.21500000
0.084,0.14500000
0.086,0.05000000
0.088,-0.01000000
0.090,0.14500000
0.092,0.07500000
0.094,0.30500000
0.096,0.29500000
0.098,0.39500000
0.100,0.32000000
0.102,0.15000000
0.104,0.13500000
0.106,0.00500000
0.108,0.00500000
0.110,0.16000000
0.112,0.23000000
0.114,0.32000000
0.116,0.32500000
0.118,0.37000000
0.120,0.27500000
0.122,0.10500000
0.124,-0.03500000
0.126,0.02500000
0.128,0.05000000
0.130,0.06500000
0.132,0.17500000
0.134,0.33500000
0.136,0.45000000
0.138,0.29500000
0.140,0.17500000
0.142,0.13000000
0.144,-0.03000000
0.146,-0.08500000
0.148,0.06000000
0.150,0.13500000
0.152,0.17500000
0.154,0.38000000
0.156,0.35000000
0.158,0.37500000
0.160,0.20000000
0.162,0.09500000
0.164,0.05500000
0.166,0.03000000
0.168,-0.03500000
0.170,0.16000000
0.172,0.21000000
0.174,0.45500000
0.176,0.31000000
0.178,0.27500000
0.180,0.20500000
0.182,0.09000000
0.184,-0.01000000
0.186,-0.09500000
0.188,-0.03500000
0.190,0.14500000
0.192,0.28500000
0.194,0.30000000
0.196,0.33000000
0.198,0.31000000
0.200,0.21500000
0.202,0.07500000
0.204,0.05500000
0.206,0.10500000
0.208,0.04500000
0.210,0.01500000
0.212,0.12500000
0.214,0.37500000
0.216,0.53500000
0.218,0.39000000
0.220,0.22500000
0.222,0.17000000
0.224,0.02500000
0.226,0.01000000
0.228,0.07000000
0.230,0.20000000
0.232,0.25500000
0.234,0.30000000
0.236,0.41000000
0.238,0.23500000
0.240,0.19500000
0.242,0.02000000
0.244,0.22000000
0.246,-0.01500000
0.248,0.00500000
0.250,0.10500000
0.252,0.34000000
0.254,0.31000000
0.256,0.30000000
0.258,0.37000000
0.260,0.21000000
0.262,0.26500000
0.264,0.15500000
0.266,-0.00500000
0.268,0.17500000
0.270,0.18500000
0.272,0.24000000
0.274,0.31000000
0.276,0.29500000
0.278,0.28500000
0.280,0.21500000
0.282,0.07000000
0.284,0.13000000
0.286,-0.00500000
0.288,-0.01500000
0.290,0.07500000
0.292,0.20500000
0.294,0.27500000
0.296,0.46000000
0.298,0.14500000
0.300,0.12000000
0.302,0.12000000
0.304,-0.07000000
0.306,-0.05000000
0.308,0.16000000
0.310,0.06000000
0.312,0.14000000
0.314,0.33500000
0.316,0.41000000
0.318,0.27500000
0.320,0.13500000
0.322,0.11000000
0.324,0.03000000
0.326,-0.10500000
0.328,-0.05500000
0.330,0.12500000
0.332,0.21500000
0.334,0.23000000
0.336,0.36000000
0.338,0.27500000
0.340,0.20500000
0.342,0.05000000
0.344,-0.02500000
0.346,-0.00500000
0.348,0.02500000
0.350,0.07500000
0.352,0.17500000
0.354,0.29000000
0.356,0.37500000
0.358,0.27500000
0.360,0.14500000
0.362,0.04000000
0.364,-0.07000000
0.366,-0.13000000
0.368,0.09500000
0.370,0.11500000
0.372,0.11500000
0.374,0.38000000
0.376,0.31000000
0.378,0.18000000
0.380,0.11000000
0.382,0.01500000
0.384,-0.04000000
0.386,0.00000000
0.388,0.23000000
0.390,0.33500000
0.392,0.34000000
0.394,0.58000000
0.396,0.63500000
0.398,0.65500000
0.400,0.60500000
0.402,0.59000000
0.404,0.53500000
0.406,0.66500000
0.408,0.71500000
0.410,0.92500000
0.412,0.88500000
0.414,0.90000000
0.416,0.92500000
0.418,0.71000000
0.420,0.47000000
0.422,0.23500000
0.424,0.05000000
0.426,-0.14000000
0.428,-0.16000000
0.430,0.13000000
0.432,0.23500000
0.434,0.28500000
0.436,0.17500000
0.438,0.06000000
0.440,0.06000000
0.442,0.08500000
0.444,0.00500000
0.446,0.03500000
0.448,0.12500000
0.450,0.18500000
0.452,0.18500000
0.454,0.34000000
0.456,0.33500000
0.458,0.29000000
0.460,0.04000000
0.462,-0.05000000
0.464,0.11000000
0.466,-0.03000000
0.468,0.08000000
0.470,0.23000000
0.472,0.20500000
0.474,0.29500000
0.476,0.28500000
0.478,0.31500000
0.480,0.07500000
0.482,0.09500000
0.484,0.04000000
0.486,-0.01500000
0.488,0.08500000
0.490,0.29500000
0.492,0.31000000
0.494,0.22500000
0.496,0.32500000
0.498,0.31000000
0.500,0.13000000
0.502,0.01500000
0.504,0.04500000
0.506,0.11000000
0.508,0.05500000
0.510,0.27500000
0.512,0.22500000
0.514,0.31500000
0.516,0.40000000
0.518,0.38500000
0.520,0.21500000
0.522,0.04500000
0.524,-0.01000000
0.526,0.04500000
0.528,0.12000000
0.530,0.30000000
0.532,0.34000000
0.534,0.40500000
0.536,0.19500000
0.538,0.20000000
0.540,0.08500000
0.542,0.00500000
0.544,0.09000000
0.546,0.19000000
0.548,0.27000000
0.550,0.22500000
0.552,0.25500000
0.554,0.50000000
0.556,0.35500000
0.558,0.22000000
0.560,0.11000000
0.562,0.07500000
0.564,0.08000000
0.566,0.08500000
0.568,0.33000000
0.570,0.22000000
0.572,0.37000000
0.574,0.47500000
0.576,0.29000000
0.578,0.26500000
0.580,0.27500000
0.582,0.08000000
0.584,-0.04500000
0.586,0.10000000
0.588,0.18500000
0.590,0.37000000
0.592,0.43500000
0.594,0.53500000
0.596,0.44500000
0.598,0.36000000
0.600,0.30000000
0.602,0.17500000
0.604,0.07500000
0.606,0.16000000
0.608,0.32000000
0.610,0.42000000
0.612,0.60500000
0.614,0.58500000
0.616,0.35500000
0.618,0.41000000
0.620,0.30000000
0.622,0.19000000
0.624,0.07000000
0.626,0.11000000
0.628,0.42500000
0.630,0.70000000
0.632,0.53500000
0.634,0.47500000
0.636,0.55500000
0.638,0.45500000
0.640,0.24000000
0.642,0.21500000
0.644,0.15000000
0.646,0.28500000
0.648,0.39500000
0.650,0.48000000
0.652,0.53000000
0.654,0.38500000
0.656,0.24500000
0.658,0.21500000
0.660,0.27000000
0.662,0.27000000
0.664,0.16500000
0.666,0.22000000
0.668,0.32000000
0.670,0.45000000
0.672,0.46000000
0.674,0.39000000
0.676,0.29000000
0.678,0.23500000
0.680,0.26500000
0.682,0.14500000
0.684,0.05500000
0.686,0.05500000
0.688,0.22500000
0.690,0.35000000
0.692,0.39500000
0.694,0.34000000
0.696,0.21500000
0.698,0.35500000
0.700,0.14500000
0.702,0.00500000
0.704,0.02500000
0.706,-0.02000000
0.708,0.20000000
0.710,0.17500000
0.712,0.20000000
0.714,0.30500000
0.716,0.30500000
0.718,0.09000000
0.720,0.05500000
0.722,0.14500000
0.724,-0.06500000
0.726,0.03500000
0.728,0.10000000
0.730,0.27000000
0.732,0.36000000
0.734,0.40500000
0.736,0.26500000
0.738,0.07000000
0.740,0.09000000
0.742,-0.04500000
0.744,-0.02000000
0.746,0.08500000
0.748,0.24000000
0.750,0.22000000
0.752,0.25500000
0.754,0.23000000
0.756,0.20000000
0.758,0.17500000
0.760,0.11000000
0.762,-0.07500000
0.764,0.02000000
0.766,0.09000000
0.768,0.13000000
0.770,0.18500000
0.772,0.34000000
0.774,0.29000000
0.776,0.18000000
0.778,0.13500000
0.780,0.18000000
0.782,-0.16500000
0.784,-0.06500000
0.786,0.26000000
0.788,0.25500000
0.790,0.29000000
0.792,0.34000000
0.794,0.35000000
0.796,0.28000000
0.798,0.11500000
0.800,0.01000000
0.802,-0.09000000
0.804,0.02000000
0.806,0.10000000
0.808,0.17500000
0.810,0.32000000
0.812,0.40000000
0.814,0.25000000
0.816,0.41500000
0.818,0.08000000
0.820,0.03000000
0.822,-0.07000000
0.824,0.01000000
0.826,0.13500000
0.828,0.21500000
0.830,0.32500000
0.832,0.43000000
0.834,0.27500000
0.836,0.28500000
0.838,0.07000000
0.840,0.02500000
0.842,-0.04000000
0.844,0.14500000
0.846,0.15000000
0.848,0.31500000
0.850,0.35500000
0.852,0.26000000
0.854,0.16000000
0.856,0.16000000
0.858,0.18000000
0.860,-0.07500000
0.862,0.05500000
0.864,0.12500000
0.866,0.20500000
0.868,0.27500000
0.870,0.25000000
0.872,0.38500000
0.874,0.35000000
0.876,0.26000000
0.878,0.11500000
0.880,-0.04000000
0.882,-0.17000000
0.884,0.06500000
0.886,0.25500000
0.888,0.15500000
0.890,0.37000000
0.892,0.48000000
0.894,0.35000000
0.896,0.19500000
0.898,0.05500000
0.900,-0.03500000
0.902,-0.13000000
0.904,0.04500000
0.906,0.25000000
0.908,0.30500000
0.910,0.38500000
0.912,0.39000000
0.914,0.19500000
0.916,0.14500000
0.918,0.06000000
0.920,-0.07000000
0.922,-0.10500000
0.924,0.10500000
0.926,0.24500000
0.928,0.26000000
0.930,0.27500000
0.932,0.31500000
0.934,0.25500000
0.936,0.20000000
0.938,0.09500000
0.940,0.00000000
0.942,-0.18500000
0.944,0.02500000
0.946,0.27000000
0.948,0.26000000
0.950,0.13500000
0.952,0.38500000
0.954,0.35000000
0.956,0.13500000
0.958,0.20000000
0.960,0.09000000
0.962,-0.05000000
0.964,0.11500000
0.966,0.18000000
0.968,0.16000000
0.970,0.28500000
0.972,0.31500000
0.974,0.24000000
0.976,0.13000000
0.978,0.10500000
0.980,-0.00500000
0.982,-0.07500000
0.984,0.07000000
0.986,0.17500000
0.988,0.27000000
0.990,0.25500000
0.992,0.33500000
0.994,0.19500000
0.996,0.20000000
0.998,0.08500000
1.000,-0.04500000
1.002,-0.24000000
1.004,-0.06500000
1.006,0.30500000
1.008,0.29000000
1.010,0.32500000
1.012,0.49000000
1.014,0.26000000
1.016,0.17500000
1.018,-0.05000000
1.020,-0.09000000
1.022,-0.10500000
1.024,0.06000000
1.026,0.30000000
1.028,0.34500000
1.030,0.30000000
1.032,0.38500000
1.034,0.30500000
1.036,0.18500000
1.038,-0.00500000
1.040,-0.12500000
1.042,-0.13000000
1.044,0.04500000
1.046,0.21500000
1.048,0.32500000
1.050,0.33000000
1.052,0.36500000
1.054,0.29500000
1.056,0.16500000
1.058,0.04500000
1.060,-0.09500000
1.062,-0.03500000
1.064,0.13500000
1.066,0.23500000
1.068,0.29500000
1.070,0.45000000
1.072,0.44500000
1.074,0.29500000
1.076,0.17500000
1.078,0.03000000
1.080,0.10000000
1.082,0.09000000
1.084,0.05500000
1.086,0.15500000
1.088,0.44500000
1.090,0.32000000
1.092,0.30500000
1.094,0.16000000
1.096,0.17500000
1.098,0.26500000
1.100,0.02000000
1.102,-0.02000000
1.104,0.19000000
1.106,0.25500000
1.108,0.32000000
1.110,0.40500000
1.112,0.30000000
1.114,0.35500000
1.116,0.15000000
1.118,-0.02000000
1.120,-0.10500000
1.122,0.09500000
1.124,0.18000000
1.126,0.27000000
1.128,0.31500000
1.130,0.35000000
1.132,0.18000000
1.134,0.14000000
1.136,0.18500000
1.138,0.02500000
1.140,-0.06500000
1.142,-0.00500000
1.144,0.15500000
1.146,0.21000000
1.148,0.27000000
1.150,0.41500000
1.152,0.16500000
1.154,0.15000000
1.156,0.14500000
1.158,0.08500000
1.160,-0.05000000
1.162,0.05500000
1.164,0.12000000
1.166,0.21500000
1.168,0.24500000
1.170,0.39000000
1.172,0.22000000
1.174,0.18500000
1.176,0.02000000
1.178,-0.08500000
1.180,-0.06500000
1.182,-0.01500000
1.184,0.17500000
1.186,0.23500000
1.188,0.35500000
1.190,0.35000000
1.192,0.23500000
1.194,0.14500000
1.196,0.04000000
1.198,0.02000000
1.200,-0.04500000
1.202,0.11500000
1.204,0.05500000
1.206,0.24000000
1.208,0.36500000
1.210,0.44000000
1.212,0.21000000
1.214,0.12000000
1.216,0.04500000
1.218,-0.10500000
1.220,-0.09500000
1.222,-0.06000000
1.224,0.08500000
1.226,0.24500000
1.228,0.29500000
1.230,0.38500000
1.232,0.41000000
1.234,0.30000000
1.236,0.18500000
1.238,0.30500000
1.240,0.25000000
1.242,0.24000000
1.244,0.40000000
1.246,0.66500000
1.248,0.95000000
1.250,1.14500000
1.252,1.00000000
1.254,0.89000000
1.256,0.82000000
1.258,0.64000000
1.260,0.58000000
1.262,0.58500000
1.264,0.66000000
1.266,0.38500000
1.268,0.44500000
1.270,0.54000000
1.272,0.26500000
1.274,0.01000000
1.276,-0.08000000
1.278,-0.04000000
1.280,0.01000000
1.282,0.01500000
1.284,0.23500000
1.286,0.27000000
1.288,0.25500000
1.290,0.40500000
1.292,0.34500000
1.294,0.17500000
1.296,-0.01000000
1.298,0.06500000
1.300,0.01000000
1.302,0.17000000
1.304,0.18000000
1.306,0.12500000
1.308,0.18500000
1.310,0.46000000
1.312,0.24500000
1.314,0.14500000
1.316,0.10000000
1.318,-0.08500000
1.320,-0.03000000
1.322,0.10000000
1.324,0.25500000
1.326,0.32000000
1.328,0.36000000
1.330,0.37500000
1.332,0.33500000
1.334,0.12000000
1.336,0.05000000
1.338,0.01500000
1.340,0.05500000
1.342,0.14000000
1.344,0.24000000
1.346,0.30500000
1.348,0.34500000
1.350,0.41500000
1.352,0.34000000
1.354,0.15500000
1.356,-0.01000000
1.358,-0.04000000
1.360,0.03000000
1.362,0.20000000
1.364,0.06500000
1.366,0.32000000
1.368,0.47000000
1.370,0.35500000
1.372,0.32500000
1.374,0.16500000
1.376,0.13500000
1.378,0.05500000
1.380,0.12000000
1.382,0.04000000
1.384,0.20500000
1.386,0.34500000
1.388,0.44500000
1.390,0.34500000
1.392,0.22000000
1.394,0.19000000
1.396,0.20500000
1.398,0.10500000
1.400,0.04000000
1.402,0.18500000
1.404,0.31500000
1.406,0.40000000
1.408,0.42500000
1.410,0.39500000
1.412,0.33000000
1.414,0.26500000
1.416,0.07500000
1.418,-0.02000000
1.420,0.08500000
1.422,0.14000000
1.424,0.23500000
1.426,0.53500000
1.428,0.50000000
1.430,0.43500000
1.432,0.31500000
1.434,0.24500000
1.436,0.18000000
1.438,0.10000000
1.440,0.16500000
1.442,0.33500000
1.444,0.47000000
1.446,0.38500000
1.448,0.64000000
1.450,0.51500000
1.452,0.36000000
1.454,0.31500000
1.456,0.23000000
1.458,0.23000000
1.460,0.25500000
1.462,0.41000000
1.464,0.40500000
1.466,0.51500000
1.468,0.56000000
1.470,0.43500000
1.472,0.39500000
1.474,0.34000000
1.476,0.24500000
1.478,0.09000000
1.480,0.25500000
1.482,0.52000000
1.484,0.51500000
1.486,0.59500000
1.488,0.65000000
1.490,0.57500000
1.492,0.41000000
1.494,0.30000000
1.496,0.16500000
1.498,0.02000000
1.500,0.26000000
1.502,0.37000000
1.504,0.50500000
1.506,0.59000000
1.508,0.52000000
1.510,0.50500000
1.512,0.41000000
1.514,0.21500000
1.516,0.19000000
1.518,0.17500000
1.520,0.17500000
1.522,0.24500000
1.524,0.34500000
1.526,0.38000000
1.528,0.45000000
1.530,0.34000000
1.532,0.31500000
1.534,0.08500000
1.536,0.13500000
1.538,0.05500000
1.540,0.13000000
1.542,0.12000000
1.544,0.32500000
1.546,0.29500000
1.548,0.30000000
1.550,0.25000000
1.552,0.15500000
1.554,0.22000000
1.556,0.12500000
1.558,-0.02500000
1.560,0.13000000
1.562,0.13000000
1.564,0.29500000
1.566,0.31000000
1.568,0.48000000
1.570,0.26500000
1.572,0.14000000
1.574,0.16500000
1.576,-0.05000000
1.578,-0.04000000
1.580,0.10000000
1.582,0.13500000
1.584,0.25000000
1.586,0.24500000
1.588,0.32500000
1.590,0.34500000
1.592,0.18500000
1.594,0.12000000
1.596,0.11000000
1.598,-0.05000000
1.600,-0.04000000
1.602,0.10000000
1.604,0.20000000
1.606,0.32000000
1.608,0.45500000
1.610,0.35500000
1.612,0.10000000
1.614,0.03500000
1.616,0.06000000
1.618,-0.01000000
1.620,0.12500000
1.622,0.20000000
1.624,0.26000000
1.626,0.23000000
1.628,0.32500000
1.630,0.29000000
1.632,0.25500000
1.634,-0.03500000
1.636,0.07000000
1.638,-0.01000000
1.640,-0.09000000
1.642,0.14000000
1.644,0.32500000
1.646,0.31500000
1.648,0.32500000
1.650,0.25000000
1.652,0.19000000
1.654,0.09000000
1.656,-0.09500000
1.658,0.01000000
1.660,0.11000000
1.662,0.28000000
1.664,0.34000000
1.666,0.35000000
1.668,0.27000000
1.670,0.24000000
1.672,0.17000000
1.674,0.16000000
1.676,0.06000000
1.678,-0.02500000
1.680,0.05000000
1.682,0.30000000
1.684,0.34000000
1.686,0.21000000
1.688,0.21500000
1.690,0.22000000
1.692,0.12000000
1.694,0.03000000
1.696,0.08000000
1.698,0.02000000
1.700,0.18000000
1.702,0.36000000
1.704,0.30500000
1.706,0.29000000
1.708,0.32500000
1.710,0.23500000
1.712,0.06000000
1.714,-0.04500000
1.716,0.03500000
1.718,0.15500000
1.720,0.11500000
1.722,0.31500000
1.724,0.42500000
1.726,0.28500000
1.728,0.17000000
1.730,0.25500000
1.732,0.14500000
1.734,0.07500000
1.736,0.00500000
1.738,0.03000000
1.740,0.10500000
1.742,0.19500000
1.744,0.24500000
1.746,0.38000000
1.748,0.20500000
1.750,0.20000000
1.752,0.01000000
1.754,-0.04000000
1.756,-0.01000000
1.758,0.15500000
1.760,0.18500000
1.762,0.16000000
1.764,0.35000000
1.766,0.31500000
1.768,0.26000000
1.770,0.25500000
1.772,0.03000000
1.774,0.03000000
1.776,0.02500000
1.778,0.11000000
1.780,0.08500000
1.782,0.24500000
1.784,0.35500000
1.786,0.36500000
1.788,0.29500000
1.790,0.17000000
1.792,0.15000000
1.794,0.00500000
1.796,-0.06500000
1.798,-0.00500000
1.800,-0.06500000
1.802,0.28500000
1.804,0.43500000
1.806,0.35000000
1.808,0.13500000
1.810,0.14000000
1.812,0.03500000
1.814,-0.04500000
1.816,0.01500000
1.818,0.07500000
1.820,0.11000000
1.822,0.31000000
1.824,0.41500000
1.826,0.48500000
1.828,0.28000000
1.830,0.13000000
1.832,0.07500000
1.834,0.11000000
1.836,-0.03500000
1.838,0.07500000
1.840,0.11500000
1.842,0.25500000
1.844,0.21000000
1.846,0.35500000
1.848,0.25000000
1.850,0.15000000
1.852,0.02500000
1.854,-0.13500000
1.856,-0.08500000
1.858,0.07500000
1.860,0.27500000
1.862,0.23500000
1.864,0.33500000
1.866,0.21500000
1.868,0.15000000
1.870,0.00000000
1.872,-0.02000000
1.874,0.09500000
1.876,-0.03500000
1.878,0.14500000
1.880,0.26500000
1.882,0.32500000
1.884,0.32500000
1.886,0.32000000
1.888,0.15000000
1.890,0.12000000
1.892,0.15500000
1.894,0.13500000
1.896,0.03500000
1.898,0.11000000
1.900,0.23000000
1.902,0.27000000
1.904,0.28000000
1.906,0.36500000
1.908,0.22000000
1.910,0.09500000
1.912,0.06000000
1.914,-0.04000000
1.916,0.08000000
1.918,0.12000000
1.920,0.13000000
1.922,0.16000000
1.924,0.23000000
1.926,0.42000000
1.928,0.37500000
1.930,0.16500000
1.932,0.05500000
1.934,0.05000000
1.936,0.13500000
1.938,0.20500000
1.940,0.21000000
1.942,0.32000000
1.944,0.39500000
1.946,0.36000000
1.948,0.25500000
1.950,0.05500000
1.952,0.07000000
1.954,0.05000000
1.956,0.02000000
1.958,0.22500000
1.960,0.31000000
1.962,0.27500000
1.964,0.32000000
1.966,0.33500000
1.968,0.22000000
1.970,0.16000000
1.972,-0.12500000
1.974,-0.03000000
1.976,-0.02000000
1.978,0.08500000
1.980,0.23000000
1.982,0.18500000
1.984,0.23500000
1.986,0.38500000
1.988,0.27000000
1.990,0.12000000
1.992,-0.01500000
1.994,-0.10500000
1.996,-0.08500000
1.998,0.05000000
2.000,0.15000000
2.002,0.40500000
2.004,0.34000000
2.006,0.24500000
2.008,0.18500000
2.010,0.12500000
2.012,0.15000000
2.014,-0.18500000
2.016,0.01000000
2.018,0.07500000
2.020,0.21000000
2.022,0.07500000
2.024,0.32500000
2.026,0.31500000
2.028,0.17000000
2.030,0.12500000
2.032,0.08500000
2.034,-0.11000000
2.036,-0.07500000
2.038,0.10000000
2.040,0.10000000
2.042,0.21500000
2.044,0.48000000
2.046,0.37000000
2.048,0.28500000
2.050,0.06500000
2.052,-0.16000000
2.054,-0.19000000
2.056,-0.01000000
2.058,0.17500000
2.060,0.27500000
2.062,0.18000000
2.064,0.31500000
2.066,0.14000000
2.068,0.20500000
2.070,0.11500000
2.072,0.16500000
2.074,0.03000000
2.076,0.15000000
2.078,0.36000000
2.080,0.41500000
2.082,0.66000000
2.084,0.90000000
2.086,0.76000000
2.088,0.84500000
2.090,0.80500000
2.092,0.71500000
2.094,0.61500000
2.096,0.76000000
2.098,0.66000000
2.100,0.64500000
2.102,0.69000000
2.104,0.69000000
2.106,0.35500000
2.108,0.30500000
2.110,0.18500000
2.112,-0.04000000
2.114,-0.13500000
2.116,-0.15500000
2.118,0.02500000
2.120,0.23500000
2.122,0.16000000
2.124,0.39500000
2.126,0.24000000
2.128,0.22500000
2.130,0.02500000
2.132,-0.06000000
2.134,0.01000000
2.136,0.02000000
2.138,0.08000000
2.140,0.25500000
2.142,0.35000000
2.144,0.43000000
2.146,0.27000000
2.148,0.20500000
2.150,0.13000000
2.152,0.06000000
2.154,0.04000000
2.156,0.12500000
2.158,0.17000000
2.160,0.29000000
2.162,0.22500000
2.164,0.32500000
2.166,0.13500000
2.168,0.08000000
2.170,0.16000000
2.172,0.10000000
2.174,0.07000000
2.176,0.13500000
2.178,0.17500000
2.180,0.26500000
2.182,0.35500000
2.184,0.33500000
2.186,0.15500000
2.188,0.23500000
2.190,0.14000000
2.192,-0.09000000
2.194,-0.02000000
2.196,0.05000000
2.198,0.21000000
2.200,0.27000000
2.202,0.37500000
2.204,0.48000000
2.206,0.34500000
2.208,0.20500000
2.210,-0.04000000
2.212,-0.10000000
2.214,0.08000000
2.216,0.11500000
2.218,0.19000000
2.220,0.41000000
2.222,0.48500000
2.224,0.44000000
2.226,0.28000000
2.228,0.14500000
2.230,0.00500000
2.232,-0.04000000
2.234,-0.12500000
2.236,0.11500000
2.238,0.35000000
2.240,0.40000000
2.242,0.32000000
2.244,0.41500000
2.246,0.37500000
2.248,0.16500000
2.250,0.07000000
2.252,0.08500000
2.254,0.04500000
2.256,0.21500000
2.258,0.33500000
2.260,0.36000000
2.262,0.41500000
2.264,0.39500000
2.266,0.26000000
2.268,0.17000000
2.270,0.13000000
2.272,0.13000000
2.274,0.22500000
2.276,0.18500000
2.278,0.32500000
2.280,0.35500000
2.282,0.49500000
2.284,0.47000000
2.286,0.40500000
2.288,0.28500000
2.290,0.16500000
2.292,-0.05500000
2.294,0.07000000
2.296,0.44500000
2.298,0.56500000
2.300,0.52000000
2.302,0.58000000
2.304,0.54500000
2.306,0.42500000
2.308,0.33500000
2.310,0.24500000
2.312,0.16500000
2.314,0.22000000
2.316,0.22000000
2.318,0.37000000
2.320,0.37500000
2.322,0.57000000
2.324,0.53500000
2.326,0.49500000
2.328,0.42500000
2.330,0.21500000
2.332,0.26000000
2.334,0.16000000
2.336,0.21500000
2.338,0.38000000
2.340,0.51500000
2.342,0.49500000
2.344,0.42500000
2.346,0.43500000
2.348,0.20000000
2.350,0.20000000
2.352,0.16500000
2.354,0.30000000
2.356,0.26500000
2.358,0.31000000
2.360,0.30500000
2.362,0.43500000
2.364,0.38000000
2.366,0.30500000
2.368,0.19500000
2.370,0.11500000
2.372,0.04500000
2.374,0.00000000
2.376,0.21500000
2.378,0.33000000
2.380,0.39000000
2.382,0.37500000
2.384,0.29000000
2.386,0.28000000
2.388,0.05000000
2.390,0.01500000
2.392,-0.13000000
2.394,0.01500000
2.396,0.19500000
2.398,0.08500000
2.400,0.27000000
2.402,0.47500000
2.404,0.39000000
2.406,0.15500000
2.408,0.06500000
2.410,-0.01000000
2.412,-0.13500000
2.414,0.01500000
2.416,0.18000000
2.418,0.30000000
2.420,0.37000000
2.422,0.40000000
2.424,0.25000000
2.426,0.14500000
2.428,0.12500000
2.430,-0.05500000
2.432,-0.10000000
2.434,-0.08500000
2.436,0.10000000
2.438,0.28000000
2.440,0.38000000
2.442,0.49500000
2.444,0.27500000
2.446,0.12500000
2.448,-0.01500000
2.450,-0.09000000
2.452,-0.05000000
2.454,0.10500000
2.456,0.09000000
2.458,0.11000000
2.460,0.36000000
2.462,0.42500000
2.464,0.24500000
2.466,0.23500000
2.468,-0.00500000
2.470,-0.02000000
2.472,0.03500000
2.474,0.06000000
2.476,0.15000000
2.478,0.30000000
2.480,0.32500000
2.482,0.35000000
2.484,0.28500000
2.486,0.16000000
2.488,0.07000000
2.490,0.05000000
2.492,-0.07000000
2.494,0.05500000
2.496,0.20000000
2.498,0.26000000
2.500,0.35000000
